accession_number,dataset_url,dataset_name,made_public,most_recent_snapshot,num_subjects,modalities,dx_status,ages,tasks,num_trials,study_design,domain_studied,longitudinal,processed_data,species,nondefaced_consent,affirmed_defaced,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author,size_gb
ds000001,https://openneuro.org/datasets/ds000001/versions/1.0.0,ds001,2016-10-12,2020-05-14,16,"MRI - func, MRI - anat",,"18-25, 26-34",balloon analog risk task,,,,No,n/a,,n/a,n/a,,,"Poldrack, Russell A.",2.25
ds000002,https://openneuro.org/datasets/ds000002/versions/00002,Classification learning,2016-10-12,2018-07-14,17,"MRI - func, MRI - anat",,"18-25, 26-34","deterministic classification, mixed event-related probe, probabilistic classification",,,,No,n/a,,n/a,n/a,,,"Poldrack, R.A.",2.7
ds000003,https://openneuro.org/datasets/ds000003/versions/1.0.0,Rhyme judgment,2016-10-13,2020-05-14,13,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50",rhyme judgment,,,,No,n/a,,n/a,n/a,,,"Poldrack, Russell A.",0.38
ds000005,https://openneuro.org/datasets/ds000005/versions/00001,ds000005,2016-10-13,2018-07-14,16,"MRI - func, MRI - anat",,"18-25, 26-34",mixed-gambles task,,,,No,n/a,,n/a,n/a,,,"R.A., Poldrack",1.77
ds000006,https://openneuro.org/datasets/ds000006/versions/00001,ds000006,2016-10-13,2018-07-14,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",living-nonliving decision with plain or mirror-reversed text,,,,No,n/a,,n/a,n/a,,,"Poldrack, RA",4.44
ds000007,https://openneuro.org/datasets/ds000007/versions/00001,ds000007,2016-10-13,2018-07-14,20,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Stop Manual, Stop Vocal, Stop Word",,,,No,n/a,,n/a,n/a,,,"RA, Poldrack",3.26
ds000008,https://openneuro.org/datasets/ds000008/versions/00001,ds000008,2016-10-13,2018-07-14,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","stop signal, conditional stop signal",,,,No,n/a,,n/a,n/a,,,"Poldrack, R.A.",2.01
ds000009,https://openneuro.org/datasets/ds000009/versions/00002,ds000009,2016-12-15,2018-07-14,24,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34","balloon analog risk task, discounting, emotional regulation, stop signal",,,,No,n/a,,n/a,n/a,,,"Poldrack, Russell",5.94
ds000011,https://openneuro.org/datasets/ds000011/versions/1.0.0,Classification learning and tone-counting,2016-10-13,2022-12-14,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Classification probe without feedback, Dual-task weather prediction, Single-task weather prediction, tone-counting",,,,No,n/a,,n/a,n/a,,,"Poldrack, Russell A.",2.27
ds000017,https://openneuro.org/datasets/ds000017/versions/00001,ds000017,2016-11-07,2018-07-14,8,"MRI - func, MRI - anat",,"18-25, 35-50","probabilistic classification, selective stop-signal task",,,,No,n/a,,n/a,n/a,,,"Poldrack, Russell A.",2.36
ds000030,https://openneuro.org/datasets/ds000030/versions/1.0.0,ds000030_R1.0.5,2018-03-19,2020-04-21,272,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34, 35-50","rest, scap, stopsignal, bart, taskswitch, bht, pamenc, pamret",,,,No,n/a,,No,Yes,,,"Sabb, F",79.28
ds000031,https://openneuro.org/datasets/ds000031/versions/2.0.2,MyConnectome,2018-05-09,2023-03-19,1,"MRI - func, MRI - dwi, MRI - anat",,35-50,"Resting fmri, N-back task, Retinotopic mapping, Breath holding task, Dot motion stop-signal task, Object recognition task, Sentence processing task, Spatial working memory task, restME, rest, restEyesOpen",,,,No,n/a,,n/a,n/a,,,"Poldrack, Russell",125.46
ds000051,https://openneuro.org/datasets/ds000051/versions/00001,Cross-language repetition priming,2016-10-14,2018-07-14,13,"MRI - func, MRI - anat",,,abstract-concrete judgment,,,,No,n/a,,n/a,n/a,,,"Poldrack, R.A.",2.11
ds000052,https://openneuro.org/datasets/ds000052/versions/00001,ds000052,2016-10-14,2018-07-14,13,"MRI - func, MRI - anat",,,"Reversal weather prediction, Weather prediction",,,,No,n/a,,n/a,n/a,,,"Gluck, M",1.2
ds000053,https://openneuro.org/datasets/ds000053/versions/00001,Training of loss aversion modulates neural sensitivity toward potential gains,2017-09-26,2018-07-17,59,"MRI - func, MRI - anat",,"18-25, 26-34","Baseline, Post-test, Training",,,,No,n/a,,n/a,n/a,,,"Poldrack, Russell A.",171.82
ds000101,https://openneuro.org/datasets/ds000101/versions/00004,ds000101,2016-10-14,2018-07-14,21,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",Simon Task,,,,No,n/a,,n/a,n/a,,,"MP, Milham",1.39
ds000102,https://openneuro.org/datasets/ds000102/versions/00001,ds000102,2016-10-14,2018-07-14,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",Flanker,,,,No,n/a,,n/a,n/a,,,"MP, Milham",1.65
ds000105,https://openneuro.org/datasets/ds000105/versions/3.0.0,Visual object recognition,2016-10-14,2023-03-24,6,"MRI - func, MRI - anat",,,object viewing,,,,No,n/a,,n/a,n/a,,,"Pietrini, P.",1.75
ds000107,https://openneuro.org/datasets/ds000107/versions/00001,Word and object processing,2016-10-14,2018-07-14,49,"MRI - func, MRI - anat",,,one-back task,,,,No,n/a,,n/a,n/a,,,"Devlin, J.T.",3.14
ds000108,https://openneuro.org/datasets/ds000108/versions/00002,ds000108,2018-03-16,2018-07-18,34,MRI - anat,,"18-25, 26-34, 35-50",Emotion regulation,,,,No,n/a,,n/a,n/a,,,"Ochsner, K.N.",0.16
ds000109,https://openneuro.org/datasets/ds000109/versions/2.0.2,"Social cognitive tasks (animate movement task, moral judgment task, false belief task)",2016-10-17,2022-05-16,36,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65, 66+",theory of mind with manual response,,,,No,n/a,,n/a,n/a,,,"Mitchell, J.P.",2.7
ds000110,https://openneuro.org/datasets/ds000110/versions/00001,Incidental encoding task (Posner Cueing Paradigm),2016-10-17,2018-07-14,18,"MRI - func, MRI - anat",,"18-25, 26-34",Incidental encoding task using Posner cueing paradigm with object v greeble judgment,,,,No,n/a,,n/a,n/a,,,"Wagner, Anthony D.",5.31
ds000113,https://openneuro.org/datasets/ds000113/versions/1.3.0,Forrest Gump,2018-08-12,2018-09-23,37,"MRI - func, MRI - dwi, MRI - anat",,"11-17, 18-25, 26-34, 35-50","Forrest Gump, movielocalizer, retmapcon, retmapccw, retmapclw, retmapexp, coverage, objectcategories, movie, auditory perception",,,,No,n/a,,n/a,n/a,,,"Stadler, Jorg",240.13
ds000114,https://openneuro.org/datasets/ds000114/versions/1.0.2,"A test-retest fMRI dataset for motor, language and spatial attention functions.",2017-06-19,2022-08-24,10,"MRI - func, MRI - dwi, MRI - anat",,,"covert_verb_generation, finger_foot_lips, line_bisection, overt_verb_generation, overt_word_repetition",,,,No,n/a,,n/a,n/a,,,"CR, Pernet",4.34
ds000115,https://openneuro.org/datasets/ds000115/versions/00001,ds000115,2016-10-25,2018-07-14,99,"MRI - func, MRI - anat",,"11-17, 18-25, 26-34","letter 0-back task, letter 1-back task, letter 2-back task",,,,No,n/a,,n/a,n/a,,,"Barch, Deanna M.",8.48
ds000116,https://openneuro.org/datasets/ds000116/versions/00003,Auditory and Visual Oddball EEG-fMRI,2017-07-25,2018-07-16,17,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","auditory oddball with button response to target stimuli, visual oddball with button response to target stimuli",,,,No,n/a,,n/a,n/a,,,"Sajda, Paul",3.08
ds000117,https://openneuro.org/datasets/ds000117/versions/1.0.6,"Multisubject, multimodal face processing",2018-03-30,2024-04-22,16,"MRI - func, MRI - dwi, MRI - anat, MEG",,"18-25, 26-34",facerecognition,,,,No,Yes,,n/a,n/a,,,"Henson, RN",84.82
